totalWeeklyShareQuantity,issueSymbolIdentifier,issueName,lastUpdateDate,lastReportedDate,tierDescription,initialPublishedDate,tierIdentifier,summaryStartDate,totalNotionalSum,totalWeeklyTradeCount,weekStartDate,MPID,firmCRDNumber,productTypeCode,marketParticipantName,summaryTypeCode
183.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,255.82,3,2026-02-02,BNPX,,,BNPX BNPP CORTEX ATS,ATS_W_SMBL_FIRM
15968.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,22449.76,70,2026-02-02,IATS,,,IATS IBKR ATS,ATS_W_SMBL_FIRM
4343.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,6115.5675,84,2026-02-02,MLIX,,,MLIX INSTINCT X,ATS_W_SMBL_FIRM
1265.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-05,NMS Tier 2,2026-03-09,T2,2026-02-02,1750.875,12,2026-02-02,ICBX,,,ICBX CBX,ATS_W_SMBL_FIRM
200.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-03,NMS Tier 2,2026-03-09,T2,2026-02-02,275.0,1,2026-02-02,ALPX,,,ALPX ALPHAX US,ATS_W_SMBL_FIRM
213.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-04,NMS Tier 2,2026-03-09,T2,2026-02-02,298.22,3,2026-02-02,ITGP,,,ITGP POSIT,ATS_W_SMBL_FIRM
12604.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,17758.49,101,2026-02-02,UBSA,,,UBSA UBS ATS,ATS_W_SMBL_FIRM
535.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,740.44,12,2026-02-02,BLUE,,,BLUE BOATS,ATS_W_SMBL_FIRM
1764.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,2460.585,16,2026-02-02,KCGM,,,KCGM VIRTU MATCHIT ATS,ATS_W_SMBL_FIRM
634.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,912.38,6,2026-02-02,CODA,,,CODA CODA,ATS_W_SMBL_FIRM
3700.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-05,NMS Tier 2,2026-03-09,T2,2026-02-02,5138.0,31,2026-02-02,MSPL,,,MSPL MS POOL (ATS-4),ATS_W_SMBL_FIRM
2519.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,3508.62,19,2026-02-02,EBXL,,,EBXL LEVEL ATS,ATS_W_SMBL_FIRM
1537.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,2170.485,21,2026-02-02,LATS,,,LATS THE BARCLAYS ATS,ATS_W_SMBL_FIRM
2674.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,3717.885,36,2026-02-02,SGMT,,,SGMT SIGMA X2,ATS_W_SMBL_FIRM
84.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,117.895,4,2026-02-02,ONEC,,,ONEC CITI-ONE ATS,ATS_W_SMBL_FIRM
13475.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,18876.48,76,2026-02-02,JPMX,,,JPMX JPM-X,ATS_W_SMBL_FIRM
15290.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,21520.04,210,2026-02-02,INCR,,,INCR INTELLIGENT CROSS LLC,ATS_W_SMBL_FIRM
512.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,706.56,2,2026-02-02,MOON,,,MOON MOON ATS,ATS_W_SMBL_FIRM
5506.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,7726.475,40,2026-02-02,CGXS,,,CGXS ONECHRONOS,ATS_W_SMBL_FIRM
169657.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,237809.685414,534,2026-02-02,,0.0,,De Minimis Firms,OTC_W_SMBL_FIRM
169657.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,237809.685414,534,2026-02-02,,,UTP,,OTC_W_SMBL
83006.0,CURR,Currenc Group Inc. Ordinary Shares,2026-03-09,2026-02-06,NMS Tier 2,2026-03-09,T2,2026-02-02,116499.5775,747,2026-02-02,,,UTP,,ATS_W_SMBL
1200.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,2682.5,10,2026-03-02,JPMX,,,JPMX JPM-X,ATS_W_SMBL_FIRM
3310.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,7362.985,31,2026-03-02,EBXL,,,EBXL LEVEL ATS,ATS_W_SMBL_FIRM
956.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,2090.445,8,2026-03-02,ITGP,,,ITGP POSIT,ATS_W_SMBL_FIRM
1518.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,3420.28,14,2026-03-02,BLUE,,,BLUE BOATS,ATS_W_SMBL_FIRM
9557.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,21078.885,162,2026-03-02,INCR,,,INCR INTELLIGENT CROSS LLC,ATS_W_SMBL_FIRM
102.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-05,NMS Tier 2,2026-04-06,T2,2026-03-02,229.52,2,2026-03-02,CODA,,,CODA CODA,ATS_W_SMBL_FIRM
1751.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-05,NMS Tier 2,2026-04-06,T2,2026-03-02,3914.675,16,2026-03-02,PURE,,,PURE PURESTREAM,ATS_W_SMBL_FIRM
5968.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,13459.775,58,2026-03-02,UBSA,,,UBSA UBS ATS,ATS_W_SMBL_FIRM
337.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-03,NMS Tier 2,2026-04-06,T2,2026-03-02,735.34,3,2026-03-02,LATS,,,LATS THE BARCLAYS ATS,ATS_W_SMBL_FIRM
11.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,25.28,2,2026-03-02,MOON,,,MOON MOON ATS,ATS_W_SMBL_FIRM
5521.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,12381.1,55,2026-03-02,SGMT,,,SGMT SIGMA X2,ATS_W_SMBL_FIRM
313.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-05,NMS Tier 2,2026-04-06,T2,2026-03-02,694.1,4,2026-03-02,ICBX,,,ICBX CBX,ATS_W_SMBL_FIRM
69459.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,155242.8575,699,2026-03-02,,,UTP,,ATS_W_SMBL
6700.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,15126.5,44,2026-03-02,MSPL,,,MSPL MS POOL (ATS-4),ATS_W_SMBL_FIRM
2230.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,4955.4,22,2026-03-02,KCGM,,,KCGM VIRTU MATCHIT ATS,ATS_W_SMBL_FIRM
4927.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,10916.15,17,2026-03-02,IATS,,,IATS IBKR ATS,ATS_W_SMBL_FIRM
311.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-05,NMS Tier 2,2026-04-06,T2,2026-03-02,702.97,2,2026-03-02,BNPX,,,BNPX BNPP CORTEX ATS,ATS_W_SMBL_FIRM
1000.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,2185.5,10,2026-03-02,BIDS,,,BIDS BIDS ATS,ATS_W_SMBL_FIRM
1712.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,3783.84,21,2026-03-02,MLIX,,,MLIX INSTINCT X,ATS_W_SMBL_FIRM
21535.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,48351.6125,213,2026-03-02,CGXS,,,CGXS ONECHRONOS,ATS_W_SMBL_FIRM
500.0,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-03,NMS Tier 2,2026-04-06,T2,2026-03-02,1146.0,5,2026-03-02,ALPX,,,ALPX ALPHAX US,ATS_W_SMBL_FIRM
186018.891326,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,415540.817109,741,2026-03-02,,0.0,,De Minimis Firms,OTC_W_SMBL_FIRM
186018.891326,CURR,Currenc Group Inc. Ordinary Shares,2026-04-06,2026-03-06,NMS Tier 2,2026-04-06,T2,2026-03-02,415540.817109,741,2026-03-02,,,UTP,,OTC_W_SMBL
