stockSplitFlag,previousShortPositionQuantity,accountingDate,averageDailyVolumeQuantity,issueName,currentShortPositionQuantity,changePreviousNumber,settlementDate,marketClassCode,daysToCoverQuantity,issuerServicesGroupExchangeCode,revisionFlag,changePercent,securitiesInformationProcessorSymbolIdentifier
,155614,20201231,173031,CURE Pharmaceutical Holding Co,123943,-31671,2020-12-31,OTC,1.0,S,,-20.35,CURR
,153301,20201215,219292,CURE Pharmaceutical Holding Co,155614,2313,2020-12-15,OTC,1.0,S,,1.51,CURR
,137774,20201130,147499,CURE Pharmaceutical Holding Co,153301,15527,2020-11-30,OTC,1.04,S,,11.27,CURR
,138278,20201113,54657,CURE Pharmaceutical Holding Co,137774,-504,2020-11-13,OTC,2.52,S,,-0.36,CURR
,138125,20201030,55136,CURE Pharmaceutical Holding Co,138278,153,2020-10-30,OTC,2.51,S,,0.11,CURR
,139498,20201015,50246,CURE Pharmaceutical Holding Co,138125,-1373,2020-10-15,OTC,2.75,S,,-0.98,CURR
,137682,20200930,72608,CURE Pharmaceutical Holding Co,139498,1816,2020-09-30,OTC,1.92,S,,1.32,CURR
,138040,20200915,56151,CURE Pharmaceutical Holding Co,137682,-358,2020-09-15,OTC,2.45,S,,-0.26,CURR
,137577,20200831,48382,CURE Pharmaceutical Holding Co,138040,463,2020-08-31,OTC,2.85,S,,0.34,CURR
,145590,20200814,59317,CURE Pharmaceutical Holding Co,137577,-8013,2020-08-14,OTC,2.32,S,,-5.5,CURR
,136464,20200731,34259,CURE Pharmaceutical Holding Co,145590,9126,2020-07-31,OTC,4.25,S,,6.69,CURR
,136243,20200715,34513,CURE Pharmaceutical Holding Co,136464,221,2020-07-15,OTC,3.95,S,,0.16,CURR
,145919,20200630,68290,CURE Pharmaceutical Holding Co,136243,-9676,2020-06-30,OTC,2.0,S,,-6.63,CURR
,149338,20200615,43711,CURE Pharmaceutical Holding Co,145919,-3419,2020-06-15,OTC,3.34,S,,-2.29,CURR
,167629,20200529,41469,CURE Pharmaceutical Holding Co,149338,-18291,2020-05-29,OTC,3.6,S,,-10.91,CURR
,160440,20200515,68316,CURE Pharmaceutical Holding Co,167629,7189,2020-05-15,OTC,2.45,S,,4.48,CURR
,155747,20200430,63416,CURE Pharmaceutical Holding Co,160440,4693,2020-04-30,OTC,2.53,S,,3.01,CURR
,306621,20200415,47904,CURE Pharmaceutical Holding Co,155747,-150874,2020-04-15,OTC,3.25,S,,-49.21,CURR
,353716,20200331,98738,CURE Pharmaceutical Holding Co,306621,-47095,2020-03-31,OTC,3.11,S,,-13.31,CURR
,346628,20200313,56297,CURE Pharmaceutical Holding Co,353716,7088,2020-03-13,OTC,6.28,S,,2.04,CURR
,328460,20200228,54130,CURE Pharmaceutical Holding Co,346628,18168,2020-02-28,OTC,6.4,S,,5.53,CURR
,338077,20200214,51185,CURE Pharmaceutical Holding Co,328460,-9617,2020-02-14,OTC,6.42,S,,-2.84,CURR
,351431,20200131,44301,CURE Pharmaceutical Holding Co,338077,-13354,2020-01-31,OTC,7.63,S,,-3.8,CURR
,405695,20200115,70052,CURE Pharmaceutical Holding Co,351431,-54264,2020-01-15,OTC,5.02,S,,-13.38,CURR
,123943,20210115,165120,CURE Pharmaceutical Holding Co,124886,943,2021-01-15,OTC,1.0,S,,0.76,CURR
,396843,20191231,55849,CURE Pharmaceutical Holding Co,405695,8852,2019-12-31,OTC,7.26,S,,2.23,CURR
,421775,20191213,53128,CURE Pharmaceutical Holding Co,396843,-24932,2019-12-13,OTC,7.47,S,,-5.91,CURR
,423522,20191129,51546,CURE Pharmaceutical Holding Co,421775,-1747,2019-11-29,OTC,8.18,S,,-0.41,CURR
,395171,20191115,109102,CURE Pharmaceutical Holding Co,423522,28351,2019-11-15,OTC,3.88,S,,7.17,CURR
,392167,20191031,47819,CURE Pharmaceutical Holding Co,395171,3004,2019-10-31,OTC,8.26,S,,0.77,CURR
,156426,20191015,76210,CURE Pharmaceutical Holding Co,392167,235741,2019-10-15,OTC,5.15,S,,150.7,CURR
,158202,20190930,84164,CURE Pharmaceutical Holding Co,156426,-1776,2019-09-30,OTC,1.86,S,,-1.12,CURR
,167602,20190913,99226,CURE Pharmaceutical Holding Co,158202,-9400,2019-09-13,OTC,1.59,S,,-5.61,CURR
,200501,20190830,116299,CURE Pharmaceutical Holding Co,167602,-32899,2019-08-30,OTC,1.44,S,,-16.41,CURR
