securityName,securityClass,putCall,cusipSedol,isin,manualIdentifier,ticker,formType,name,lei,currencyCode,payoffProfile,issuerClass,fairValueLevel,couponKind,countryCode,units,fileDate,effectiveDate,superceded,principal,shares,percent,value,sharesChange,percentChange,prevShares,prevValue,percentValueChange,percentOwnershipChange,sharePrice,costBasis,profit,performance,sharesMultiplier,valueMultiplier,allocation,prevAllocation,allocationPercentChange,allocationChange,current,unrealized,realized,pageDataId,lineNbr,option,default,formTypeShort,formattedFileDate,valueChange,bestIdentifier,restricted,safeAllocationChange,latestUnrealized,slug,url,ownershipPercent,ownershipPercentChange,sharesPercentChange,valuePercentChange
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Two Sigma Investments, Lp",,,,,,,,,2026-05-15,2026-03-31,False,,59536,,155984,0,0.0,59536.0,106.0,46.23,,0.9876161,58.79871,,,,0.001,0.00012586390609440183,0.00015031366904082432,-16.265828053057554,-2.444976294642249e-05,,97.18561,,,,False,,13F,6 days ago,49000,G47862100,,-2.444976294642249e-05,132.3118,two-sigma-investments-llc,https://fintel.io/i/two-sigma-investments-llc,0.07771162752134002,0.0,0.0,46.23
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,UBS Group AG,,,,,,,,,2026-05-05,2026-03-31,False,,2178,,5706,-8397,-79.40425531914893,10575.0,18.0,-72.22,,2.161,-18.145917,5.851917,32.51065,,0.001,1.5984366135231083e-07,5.507311998232265e-07,-70.97610206147439,-3.908875384709157e-07,,,,,,False,,13F,05-05,-13000,G47862100,,-3.908875384709157e-07,,ubs,https://fintel.io/i/ubs,0.002842917306192532,-79.40425531914893,-79.40425531914893,-72.22
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Geode Capital Management, Llc",,,,,,,,,2026-05-15,2026-03-31,False,,39561,,103649,0,0.0,39561.0,70.0,47.14,,1.798969,71.16901,,,,0.001,3.445439875590291e-06,4.370042984757571e-06,-21.15775777016922,-9.2460310916728e-07,,32.48081,,,,False,,13F,6 days ago,33000,G47862100,,-9.2460310916728e-07,55.8218,geode-capital-management-llc,https://fintel.io/i/geode-capital-management-llc,0.05163849933438143,0.0,0.0,47.14
Currenc Group Inc,COM,,G47862100,,,,13F-HR,"SBI Securities Co., Ltd.",,,,,,,,,2026-04-28,2026-03-31,False,,75,,197,0,0.0,75.0,0.0,,,1.3133,0.197,0.0,,,0.001,5.378011636558285e-06,3.44269952161224e-06,56.21495872052536,1.935312114946045e-06,,,,,,False,,13F,04-28,0,G47862100,,1.935312114946045e-06,,sbi-securities-co-ltd-2148,https://fintel.io/i/sbi-securities-co-ltd-2148,9.789660145291087e-05,0.0,0.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Virtu Financial LLC,,,,,,,,,2026-05-14,2026-03-31,False,,0,,0,-17181,-100.0,17181.0,31.0,,,,,,,,0.001,,,,,,,,,,False,,13F,7 days ago,-31000,G47862100,,0.0,,virtu-financial-llc,https://fintel.io/i/virtu-financial-llc,0.0,-100.0,-100.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,"Cwm, Llc",,,,,,,,,2026-05-14,2026-03-31,False,,822,,2154,0,0.0,822.0,0.0,,,1.677943,1.379269,,,,0.001,5.600210491061065e-06,2.7094918104255284e-06,106.68859265463315,2.8907186806355366e-06,,0.7743708,,,,False,,13F,7 days ago,2000,G47862100,,2.8907186806355366e-06,1.259351,cwm-llc,https://fintel.io/i/cwm-llc,0.001072946751923903,0.0,0.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Quadrature Capital Ltd,,,,,,,,,2026-05-15,2026-03-31,False,,10497,,27502,10497,,,,,,1.9775,20.75782,,,,0.001,0.000327241222207946,,,0.000327241222207946,,6.744322,,,,False,,13F,6 days ago,27000,G47862100,,0.000327241222207946,12.93755,quadrature-capital,https://fintel.io/i/quadrature-capital,0.01370160833934941,,,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Tower Research Capital LLC (TRC),,,,,,,,,2026-02-17,2025-12-31,False,,0,,0,-100,-100.0,100.0,0.0,,,,0.0,0.0,,,0.001,0.0,4.635688106584169e-06,-100.0,-4.635688106584169e-06,,,,,,False,,13F,02-17,0,G47862100,,-4.635688106584169e-06,,tower-research-capital-llc-trc-,https://fintel.io/i/tower-research-capital-llc-trc-,0.0,-100.0,-100.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,Antara Capital LP,,,,,,,,,2026-02-17,2025-12-31,False,,0,,0,-263200,-100.0,263200.0,442176.0,,,,,,,,0.001,,,,,,,,,,False,,13F,02-17,-442176000,G47862100,,0.0,,antara-capital,https://fintel.io/i/antara-capital,0.0,-100.0,-100.0,
CURRENC GROUP INC,CL A ORD SHS,,G47862100,,,,13F-HR,XTX Topco Ltd,,,,,,,,,2026-05-15,2026-03-31,False,,37849,,99164,-4255,-10.105928177845335,42104.0,75.0,32.0,,1.861483,70.45528,,,,0.001,0.0017242782947595409,0.001978977072848204,-12.870223793047424,-0.0002546987780886631,,28.7091,,,,False,,13F,6 days ago,24000,G47862100,,-0.0002546987780886631,51.04001,xtx-topco-ltd,https://fintel.io/i/xtx-topco-ltd,0.04940384624521632,-10.105928177845335,-10.105928177845335,32.0
