title,bakedTitle,url,formType,excerpt,trimmedExcerpt,publishDate,publishAt,security,slug,parentId,parentUrl
,LETTER,https://fintel.io/doc/null,LETTER,"May 23, 2025 Joel Bennett Chief Financial Officer Avenir Wellness Solutions, Inc. 5805 Sepulveda Blvd Suite 801 Sherman Oaks, CA 91411 Re: Avenir Wellness Solutions, Inc. Form 10-K for the Year Ended December 31, 2022 Form 10-Q for the Period Ended September 30, 2023 Dear Joel Bennett: We issued comments on the above captioned filing on April 11, 2024. On May 2, 2025, we issued a follow-up letter informing you that comment(s) remained outstanding and unresolved, and absent a substantive response, we would act consistent with our obligations under the federal securities laws. As you have not provided a substantive response, we are terminating our review and will take further steps as we deem appropriate. These steps include releasing publicl","May 23, 2025 Joel Bennett Chief Financial Officer Avenir Wellness Solutions, Inc. 5805 Sepulveda Blvd Suite 801 Sherman Oaks, CA 91411 Re: Avenir Wellness Solutions, Inc. Form 10-K for the Year Ended December 31, 2022 Form 10-Q for the Period Ended September 30, 2023 Dear Joel Bennett: We issued comments on the above captioned filing on April 11, 2024. On May 2, 2025, we issued a follow-up letter ",2025-05-23,2025-05-23T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",,,
,LETTER,https://fintel.io/doc/null,LETTER,"May 2, 2025 Joel Bennett Chief Financial Officer Avenir Wellness Solutions, Inc. 5805 Sepulveda Blvd Suite 801 Sherman Oaks, CA 91411 Re: Avenir Wellness Solutions, Inc. Form 10-K for the Year Ended December 31, 2022 Form 10-Q for the Period Ended September 30, 2023 Dear Joel Bennett: We issued comments to you on the above captioned filing on April 11, 2024. As of the date of this letter, these comments remain outstanding and unresolved. We expect you to provide a complete, substantive response to these comments by May 16, 2025. If you do not respond, we will, consistent with our obligations under the federal securities laws, decide how we will seek to resolve material outstanding comments and complete our review of your filing and your dis","May 2, 2025 Joel Bennett Chief Financial Officer Avenir Wellness Solutions, Inc. 5805 Sepulveda Blvd Suite 801 Sherman Oaks, CA 91411 Re: Avenir Wellness Solutions, Inc. Form 10-K for the Year Ended December 31, 2022 Form 10-Q for the Period Ended September 30, 2023 Dear Joel Bennett: We issued comments to you on the above captioned filing on April 11, 2024. As of the date of this letter, these co",2025-05-02,2025-05-02T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",,,
"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING",https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-nt-10k-2025-april-01-20179-924,NT 10-K,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING (Check one): ☒ Form 10-K ☐ Form 20-F ☐ Form 11-K ☐ Form 10-Q ☐ Form 10-D ☐ Form N-CEN ☐ Form N-CSR For Period Ended: December 31, 2024 ☐ Transition Report on Form 10-K ☐ Transition Report on Form 20-F ☐ Transition Report on Form 11-K ☐ Transition Report on Form 10-Q For the Transition Period Ended: N/A Read Instruction (on back page) Before Preparing Form. Please Print or Type. Nothing in this form shall be construed to imply that the Commission has veriﬁed any information contained herein. If the notiﬁcation relates to a portion of the ﬁling checked above, identify the Item(s) to which the notiﬁcation relates: N/A PART I — REGIST","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING (Check one): ☒ Form 10-K ☐ Form 20-F ☐ Form 11-K ☐ Form 10-Q ☐ Form 10-D ☐ Form N-CEN ☐ Form N-CSR For Period Ended: December 31, 2024 ☐ Transition Report on Form 10-K ☐ Transition Report on Form 20-F ☐ Transition Report on Form 11-K ☐ Transition Report on Form 10-Q For the Transition Pe",2025-04-01,2025-04-01T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-nt-10k-2025-april-01-20179-924,,
Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers,Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers,https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-8k-2025-march-04-20151-2318,8-K,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of Report (Date of earliest event reported): February 26, 2025 AVENIR WELLNESS SOLUTIONS, INC. (Exact name of registrant as specified in its charter) Delaware 000-55908 90-1504639 (State or other jurisdiction (Commission (IRS Employer of incorporation) File Number) Identification No.) 5805 Sepulveda Blvd., Suite 801 Sherman Oaks, California 91411 (Address of principal executive offices) (Zip Code) (424) 273-8675 (Registrant’s telephone number, including area code)  (Former name or former address, if changed since last report.) Check the appropriate box below if the Form 8","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of Report (Date of earliest event reported): February 26, 2025 AVENIR WELLNESS SOLUTIONS, INC. (Exact name of registrant as specified in its charter) Delaware 000-55908 90-1504639 (State or other jurisdiction (Commission (IRS Em",2025-03-04,2025-03-04T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-8k-2025-march-04-20151-2318,,
JOINT FILING AGREEMENT PURSUANT TO RULE 13d-1(k),JOINT FILING AGREEMENT PURSUANT TO RULE 13d-1(k),https://fintel.io/doc/sec-ionic-ventures-llc-1643301-ex1-2025-january-10-20098-136,EX-1,"EXHIBIT 1 JOINT FILING AGREEMENT PURSUANT TO RULE 13d-1(k) The undersigned acknowledge and agree that the foregoing statement on Schedule 13G is filed on behalf of each of the undersigned and that all subsequent amendments to this statement on Schedule 13G shall be filed on behalf of each of the undersigned without the necessity of filing additional joint filing agreements. The undersigned acknowledge that each shall be responsible for the timely filing of such amendments, and for the completeness and accuracy of the information concerning him or it contained herein and therein, but shall not be responsible for the completeness and accuracy of the information concerning the others, except to the extent that he or it knows or has reason to b",EXHIBIT 1 JOINT FILING AGREEMENT PURSUANT TO RULE 13d-1(k) The undersigned acknowledge and agree that the foregoing statement on Schedule 13G is filed on behalf of each of the undersigned and that all subsequent amendments to this statement on Schedule 13G shall be filed on behalf of each of the undersigned without the necessity of filing additional joint filing agreements.,2025-01-10,2025-01-10T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-ionic-ventures-llc-1643301-ex1-2025-january-10-20098-136,https://www.sec.gov/Archives/edgar/data/1643301/000175392625000072/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1643301/000175392625000072/primary_doc.xml
SETTLEMENT AGREEMENT WITH MUTUAL RELEASES,SETTLEMENT AGREEMENT WITH MUTUAL RELEASES,https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-ex101-2024-december-26-20083-9161,EX-10.1,"EX-10.1 2 avrwex101.htm SETTLEMENT AGREEMENT WITH MUTUAL RELEASES EXHIBIT 10.1 SETTLEMENT AGREEMENT WITH MUTUAL RELEASES This Settlement Agreement (“Agreement”), made effective this 15th day of December, 2024 (“Effective Date”), is by and between Avenir Wellness Solutions, Inc., f/k/a Cure Pharmaceutical Holding Corp. (“Avenir” or the “Company”), a Delaware corporation maintaining its principal place of business at 5805 Sepulveda Boulevard in Sherman Oaks, California, and Ionic Ventures, LLC (“Ionic”), a California limited liability company maintaining its principal place of business at 3053 Fillmore Street in San Francisco, California. Ionic and Avenir are sometimes collectively referred to herein as the “Parties” and individually as a “Pa","EX-10.1 2 avrwex101.htm SETTLEMENT AGREEMENT WITH MUTUAL RELEASES EXHIBIT 10.1 SETTLEMENT AGREEMENT WITH MUTUAL RELEASES This Settlement Agreement (“Agreement”), made effective this 15th day of December, 2024 (“Effective Date”), is by and between Avenir Wellness Solutions, Inc., f/k/a Cure Pharmaceutical Holding Corp. (“Avenir” or the “Company”), a Delaware corporation maintaining its principal pl",2024-12-26,2024-12-26T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-ex101-2024-december-26-20083-9161,https://www.sec.gov/Archives/edgar/data/1643301/000147793224008304/avrw_8k.htm,https://www.sec.gov/Archives/edgar/data/1643301/000147793224008304/avrw_8k.htm
"Entry into a Material Definitive Agreement, Financial Statements and Exhibits","Entry into a Material Definitive Agreement, Financial Statements and Exhibits",https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-8k-2024-december-26-20083-6889,8-K,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of Report (Date of earliest event reported): December 15, 2024 AVENIR WELLNESS SOLUTIONS, INC. (Exact name of registrant as specified in its charter) Delaware 000-55908 90-1504639 (State or other jurisdiction (Commission (IRS Employer of incorporation) File Number) Identification No.) 15233 Ventura Blvd., Suite 420 Sherman Oaks, California 91403 (Address of principal executive offices) (Zip Code) (424) 273-8675 (Registrant’s telephone number, including area code)  (Former name or former address, if changed since last report.) Check the appropriate box below if the Form 8-","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of Report (Date of earliest event reported): December 15, 2024 AVENIR WELLNESS SOLUTIONS, INC. (Exact name of registrant as specified in its charter) Delaware 000-55908 90-1504639 (State or other jurisdiction (Commission (IRS Em",2024-12-26,2024-12-26T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-8k-2024-december-26-20083-6889,,
"AVENIR WELLNESS SOLUTIONS, INC., F/K/A CURE PHARMACEUTICAL HOLDING CORP. SENIOR SECURED NOTE","AVENIR WELLNESS SOLUTIONS, INC., F/K/A CURE PHARMACEUTICAL HOLDING CORP. SENIOR SECURED NOTE",https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-ex102-2024-december-26-20083-1512,EX-10.2,"EXHIBIT 10.2 PORTIONS OF THIS EXHIBIT HAVE BEEN REDACTED BECAUSE IT IS NOT MATERIAL AND OF A TYPE THAT THE REGISTRANT TREATS AS PRIVATE OR CONFIDENTIAL. SUCH REDACTED PORTIONS ARE INDICATED WITH “[***].” THE ISSUANCE AND SALE OF THIS NOTE HAS NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR APPLICABLE STATE SECURITIES LAWS. THIS NOTE MAY NOT BE OFFERED FOR SALE, SOLD, TRANSFERRED OR ASSIGNED (I) IN THE ABSENCE OF (A) AN EFFECTIVE REGISTRATION STATEMENT FOR THE SECURITIES UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR (B) AN OPINION OF COUNSEL TO THE HOLDER (IF REQUESTED BY THE COMPANY), IN A FORM REASONABLY ACCEPTABLE TO THE COMPANY, THAT REGISTRATION IS NOT REQUIRED UNDER SAID ACT OR (II) UNLESS SOLD OR ELIGIBLE TO BE","EXHIBIT 10.2 PORTIONS OF THIS EXHIBIT HAVE BEEN REDACTED BECAUSE IT IS NOT MATERIAL AND OF A TYPE THAT THE REGISTRANT TREATS AS PRIVATE OR CONFIDENTIAL. SUCH REDACTED PORTIONS ARE INDICATED WITH “[***].” THE ISSUANCE AND SALE OF THIS NOTE HAS NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR APPLICABLE STATE SECURITIES LAWS. THIS NOTE MAY NOT BE OFFERED FOR SALE, SOLD, TRANSFERR",2024-12-26,2024-12-26T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-ex102-2024-december-26-20083-1512,https://www.sec.gov/Archives/edgar/data/1643301/000147793224008304/avrw_8k.htm,https://www.sec.gov/Archives/edgar/data/1643301/000147793224008304/avrw_8k.htm
"UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 10-Q","UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 10-Q",https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-10q-2024-november-19-20046-824,10-Q,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 10-Q ☒ QUARTERLY REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 For the quarterly period ended September 30, 2024 ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period from  to  Commission file number 000-55908 AVENIR WELLNESS SOLUTIONS, INC. (Exact name of registrant as specified in its charter) Delaware 2844 90-1504639 (State or other jurisdiction of incorporation or organization) (Primary Standard Industrial Classification Number) (IRS Employer Identification Number) 15233 Ventura Blvd., Suite 420, Sherman Oaks, California 91403 (Address of principal executive offices)","UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 10-Q ☒ QUARTERLY REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 For the quarterly period ended September 30, 2024 ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period from to Commission file number 000-55908 AVENIR WELLNESS SOLU",2024-11-19,2024-11-19T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-10q-2024-november-19-20046-824,,
"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING",https://fintel.io/doc/sec-avenir-wellness-solutions-inc-1643301-nt-10q-2024-november-15-20042-8687,NT 10-Q,"NT 10-Q 1 avrwnt10q.htm NT 10-Q UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING (Check one): ☐ Form 10-K ☐ Form 20-F ☐ Form 11-K ☒ Form 10-Q ☐ Form 10-D ☐ Form N-CEN ☐ Form N-CSR For Period Ended: September 30, 2024 ☐ Transition Report on Form 10-K ☐ Transition Report on Form 20-F ☐ Transition Report on Form 11-K ☐ Transition Report on Form 10-Q For the Transition Period Ended: N/A Read Instruction (on back page) Before Preparing Form. Please Print or Type. Nothing in this form shall be construed to imply that the Commission has veriﬁed any information contained herein. If the notiﬁcation relates to a portion of the ﬁling checked above, identify the Item(s) to which the notiﬁca","NT 10-Q 1 avrwnt10q.htm NT 10-Q UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 12b-25 NOTIFICATION OF LATE FILING (Check one): ☐ Form 10-K ☐ Form 20-F ☐ Form 11-K ☒ Form 10-Q ☐ Form 10-D ☐ Form N-CEN ☐ Form N-CSR For Period Ended: September 30, 2024 ☐ Transition Report on Form 10-K ☐ Transition Report on Form 20-F ☐ Transition Report on Form 11-K ☐ Transition Report o",2024-11-15,2024-11-15T00:00:00Z,"{'id': 82240, 'exchange': 'NasdaqGM', 'symbol': 'CURR', 'name': 'CURRENC Group Inc.', 'country': 'US', 'exchangeId': None, 'isin': 'KYG478621009', 'cusipSedol': 'G47862100', 'iexId': 'IEX_515434304A372D52', 'figi': 'BBG009CXG2M8', 'status': 0, 'ciqId': 1893191929, 'notes': None, 'securityType': 'COMMON', 'primaryFlag': True, 'currencyCode': 'USD', 'description': None, 'fullSymbol': 'US:CURR', 'exchangeSymbol': 'NasdaqGM:CURR', 'fullSymbolDisplayName': 'CURR / CURRENC Group Inc.', 'currency': 'USD', 'canonical': 'us/curr', 'symbolDisplayName': 'CURR / CURRENC Group Inc.', 'compactDisplayName': 'CURR / CURRENC Group Inc.'}",sec-avenir-wellness-solutions-inc-1643301-nt-10q-2024-november-15-20042-8687,,
