page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,ticker,Ticker,string,CURR,Direct value from normalized JSON envelope,Stock ticker symbol for the issuer workspace.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,asOfDate,As Of Date,string,2026-05-26,Direct value from normalized JSON envelope,Business date represented by the imported data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,importedAt,Imported At,string,2026-05-26T11:26:45.496Z,Direct value from normalized JSON envelope,Timestamp when the file was copied or normalized into import_data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,source,Source,string,Sample Data normalized,Direct value from normalized JSON envelope,Human-readable source note for this normalized file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,sourcePlatform,Source Platform,string,Ortex,Direct value from normalized JSON envelope,Expected data provider or platform.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,recordType,Record Type,string,expirationWall,Direct value from normalized JSON envelope,Semantic type of the JSON file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,category,Category,string,options,Direct value from normalized JSON envelope,Category used by options/expiration_wall views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,recordCount,Record Count,number,0,Number of records in the envelope data payload,Number of top-level records in the data payload.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,status,Status,string,ready,Direct value from normalized JSON envelope,Status used by options/expiration_wall views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/options,Options,"Options summary, put/call ratios, open interest, gamma exposure, and expiration wall.",options,import_data/options/expiration_wall.json,Ortex,scheduled import,notes,Notes,null,,Direct value from normalized JSON envelope,Notes used by options/expiration_wall views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
