page_route,page_name,page_purpose,section_or_widget,source_file,source_provider,update_cadence,json_key_path,display_label,data_type,sample_data,formula_or_transform,description,team_notes
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,ticker,Ticker,string,CURR,Direct value from normalized JSON envelope,Stock ticker symbol for the issuer workspace.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,asOfDate,As Of Date,string,2026-05-26,Direct value from normalized JSON envelope,Business date represented by the imported data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,importedAt,Imported At,string,2026-05-26T11:26:45.496Z,Direct value from normalized JSON envelope,Timestamp when the file was copied or normalized into import_data.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,source,Source,string,Sample Data normalized,Direct value from normalized JSON envelope,Human-readable source note for this normalized file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,sourcePlatform,Source Platform,string,Fintel,Direct value from normalized JSON envelope,Expected data provider or platform.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,recordType,Record Type,string,activistFilings,Direct value from normalized JSON envelope,Semantic type of the JSON file.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,category,Category,string,ownership,Direct value from normalized JSON envelope,Category used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,recordCount,Record Count,number,3,Number of records in the envelope data payload,Number of top-level records in the data payload.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,status,Status,string,ready,Direct value from normalized JSON envelope,Status used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,notes,Notes,null,,Direct value from normalized JSON envelope,Notes used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,originalFiles,Original Files,array,1 records,Direct value from normalized JSON envelope,Original Files used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,originalFiles[],Original Files,string,Sample Data/Fintel.io/activist_filings_premium.csv,Direct value from normalized JSON envelope,Original Files used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data,Data,array,3 records,Direct value from normalized JSON envelope,Data used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[],Data,object,"{""investorName"":""Huang Yafangzhou"",""formType"":""SCHEDULE 13G/A"",""effectiveDate"":""2025-07-25"",""fileDate"":""2025-07-25"",""ownershipPercent"":0,""shares"":3477818,""sh...",Direct value from normalized JSON envelope,Data used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].investorName,Investor Name,string,Huang Yafangzhou,Direct value from normalized JSON envelope,"Institutional, activist, or insider name.",Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].formType,Form Type,string,SCHEDULE 13G/A,Direct value from normalized JSON envelope,"SEC form type such as 13F, 13D, 13G, 8-K, or Form 4.",Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].effectiveDate,Effective Date,string,2025-07-25,Direct value from normalized JSON envelope,Effective Date used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].fileDate,File Date,string,2025-07-25,Direct value from normalized JSON envelope,File Date used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].ownershipPercent,Ownership Percent,number,0,Direct value from normalized JSON envelope,Percent of issuer owned by holder.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].shares,Shares,number,3477818,Direct value from normalized JSON envelope,Shares used by ownership/activist_filings views.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
/monitor/[ticker]/shareholder-watch,Shareholder Watch,Shareholder watch data preview.,ownership,import_data/ownership/activist_filings.json,Fintel,scheduled import,data[].sharesChange,Shares Change,number,0,Direct value from normalized JSON envelope,Absolute change in share position.,Keep this key stable when updating Google Drive JSON. Add new keys as new columns/rows when provider coverage expands.
