ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,dataset
2026-05-18 12:52:15.383001200+00:00,2026-05-18 12:52:15.382786600+00:00,0,43,19474,T,B,0,3.59,3,0,199835,4977393,CURR,ARCX.PILLAR
2026-05-18 13:30:00.448925121+00:00,2026-05-18 13:30:00.448707768+00:00,0,43,19474,T,B,0,3.59,22,0,199525,5920602,CURR,ARCX.PILLAR
2026-05-18 13:30:00.448932314+00:00,2026-05-18 13:30:00.448708153+00:00,0,43,19474,T,B,0,3.59,1,0,199689,5920603,CURR,ARCX.PILLAR
2026-05-18 13:30:12.244731411+00:00,2026-05-18 13:30:12.244512705+00:00,0,43,19474,T,N,0,3.595,100,0,199615,6050749,CURR,ARCX.PILLAR
2026-05-18 13:30:12.244731411+00:00,2026-05-18 13:30:12.244512705+00:00,0,43,19474,T,A,0,3.52,25,0,199615,6050750,CURR,ARCX.PILLAR
2026-05-18 13:30:12.244738405+00:00,2026-05-18 13:30:12.244513046+00:00,0,43,19474,T,N,0,3.47,391,128,199351,6050751,CURR,ARCX.PILLAR
2026-05-18 13:31:31.355499400+00:00,2026-05-18 13:31:31.355277802+00:00,0,43,19474,T,N,0,3.59,100,0,199369,6371277,CURR,ARCX.PILLAR
2026-05-18 13:31:31.355499400+00:00,2026-05-18 13:31:31.355277802+00:00,0,43,19474,T,A,0,3.58,300,0,199369,6371278,CURR,ARCX.PILLAR
2026-05-18 13:31:31.355506506+00:00,2026-05-18 13:31:31.355278432+00:00,0,43,19474,T,A,0,3.58,17,0,199427,6371279,CURR,ARCX.PILLAR
2026-05-18 13:31:31.355903884+00:00,2026-05-18 13:31:31.355694067+00:00,0,43,19474,T,N,0,3.59,141,128,199445,6371302,CURR,ARCX.PILLAR
2026-05-18 13:31:31.364527011+00:00,2026-05-18 13:31:31.364318836+00:00,0,43,19474,T,N,0,3.56,110,128,199326,6371345,CURR,ARCX.PILLAR
2026-05-18 13:31:32.368249481+00:00,2026-05-18 13:31:32.368038702+00:00,0,43,19474,T,N,0,3.55,25,128,199376,6374700,CURR,ARCX.PILLAR
2026-05-18 13:31:35.342948539+00:00,2026-05-18 13:31:35.342736498+00:00,0,43,19474,T,N,0,3.56,25,128,199727,6384145,CURR,ARCX.PILLAR
2026-05-18 13:31:35.344135027+00:00,2026-05-18 13:31:35.343925991+00:00,0,43,19474,T,N,0,3.56,75,128,199592,6384150,CURR,ARCX.PILLAR
2026-05-18 13:31:37.531203231+00:00,2026-05-18 13:31:37.530991290+00:00,0,43,19474,T,N,0,3.56,25,128,199571,6390187,CURR,ARCX.PILLAR
2026-05-18 13:33:09.095036721+00:00,2026-05-18 13:33:09.094821563+00:00,0,43,19474,T,A,0,3.5,37,0,199835,6697386,CURR,ARCX.PILLAR
2026-05-18 13:33:09.095046147+00:00,2026-05-18 13:33:09.094830303+00:00,0,43,19474,T,A,0,3.5,63,0,199857,6697387,CURR,ARCX.PILLAR
