reportingFacilityCode,totalParQuantity,shortParQuantity,marketCode,tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortExemptParQuantity
NQTRF,60340.893076,14833.0,Q,2026-03-02,CURR,0
NYTRF,1360.0,1335.0,N,2026-03-02,CURR,0
NQTRF,135557.970134,39249.668171,Q,2026-05-11,CURR,0
NYTRF,4078.0,410.0,N,2026-05-11,CURR,0
NCTRF,1785.0,1700.0,B,2026-03-03,CURR,0
NQTRF,35111.420512,18681.714754,Q,2026-03-03,CURR,0
NYTRF,7976.0,159.0,N,2026-03-03,CURR,0
NQTRF,75142.205507,21198.309468,Q,2026-03-09,CURR,0
NYTRF,1968.0,1415.0,N,2026-03-09,CURR,0
NCTRF,694.0,683.0,B,2026-05-04,CURR,0
NQTRF,38248.491514,4751.0,Q,2026-05-04,CURR,0
NCTRF,2138.99,25.0,B,2026-05-06,CURR,0
NQTRF,226031.095552,97909.333661,Q,2026-05-06,CURR,300
NYTRF,4298.0,887.0,N,2026-05-06,CURR,0
NCTRF,1142.07,241.0,B,2026-02-27,CURR,0
NQTRF,74134.946785,20241.941218,Q,2026-02-27,CURR,0
NYTRF,4845.0,691.0,N,2026-02-27,CURR,0
NQTRF,15094.162747,5121.0,Q,2026-04-17,CURR,0
NYTRF,1178.0,507.0,N,2026-04-17,CURR,0
NQTRF,58356.497575,17305.444444,Q,2026-03-06,CURR,0
NYTRF,1578.0,150.0,N,2026-03-06,CURR,0
NQTRF,61396.685238,15768.6401,Q,2026-05-12,CURR,0
NYTRF,1268.0,3.0,N,2026-05-12,CURR,0
NCTRF,1112.0,111.0,B,2026-05-15,CURR,0
NQTRF,107425.910074,37579.580879,Q,2026-05-15,CURR,102
NYTRF,7558.0,4425.0,N,2026-05-15,CURR,0
NQTRF,113680.038913,34109.144509,Q,2026-05-18,CURR,7250
NYTRF,7892.0,5535.0,N,2026-05-18,CURR,0
NCTRF,5421.0,3400.0,B,2026-03-31,CURR,0
NQTRF,175203.091292,65076.395256,Q,2026-03-31,CURR,0
NYTRF,11398.0,6383.0,N,2026-03-31,CURR,0
NCTRF,300.0,300.0,B,2026-02-23,CURR,0
NQTRF,34261.857476,12179.923076,Q,2026-02-23,CURR,0
NYTRF,2560.0,2389.0,N,2026-02-23,CURR,0
NQTRF,51084.063932,23735.798403,Q,2026-03-16,CURR,0
NYTRF,5405.0,1026.0,N,2026-03-16,CURR,0
NCTRF,9320.4444,8480.0,B,2026-05-07,CURR,0
NQTRF,125056.307912,28084.537634,Q,2026-05-07,CURR,828
NYTRF,2380.0,231.0,N,2026-05-07,CURR,0
NCTRF,118.0,116.0,B,2026-04-20,CURR,0
NQTRF,34300.792623,5237.0,Q,2026-04-20,CURR,0
